program_id,source,source_name,source_type,detail_url,title,provider,summary,is_elementary,is_middle,is_high,target_grade_codes,grade_min,grade_max,grade_label,grade_basis,youth_fit,is_sw,is_ai,is_bio,is_sw_ai_related,is_bio_related,field_code,track_group,interest_tags,field_hits,growth_level,growth_label,growth_basis,is_competition,is_course,course_level,course_level_label,course_level_basis,format_type,format_label,format_basis,is_online,place_id,place_name,address,latitude,longitude,coord_source,equipment_codes,equipment_names,equipment_count,equipment_source,space_type,capacity,rental_space_ids,rental_max_capacity,rental_wifi,rental_projector,rental_available,reservation_url,space_match_method,start_date,end_date,duration_days,apply_start,apply_end,weekdays,time_start,time_end,total_hours,status_code,status_label,fee_type,fee_label,fee_amount,satisfaction_score,difficulty_score,difficulty_felt,completion_rate,outcome_source,search_text
BN7A8DC3AA1A,baewoobom,춘천시 배워봄,chuncheon_local,https://lifelong.hallym.ac.kr/cmmn/crs/community/selectDetail.do?crsId=O000552026001,AI의 시작과 기초- 검색의 시대에서 대화의 시대로,한림대학교 커뮤니티교육원,,0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,AI·데이터,생성형|ai,1,씨앗,체험/입문,0,1,1,기초,"제목 ""기초""",1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,LAPTOP|WIFI,노트북|와이파이/인터넷,2,1,ONLINE,,,,0,0,,,,2026-08-01,2026-12-31,153,2026-05-01,2026-07-31,월|화|수|목|금|토|일,00:00,00:00,,1,모집중,-1,미상,,,,,,,ai의 시작과 기초- 검색의 시대에서 대화의 시대로 ai기초|생성형ai|제미나이|프롬포트엔지니어링 ai의 시작과 기초- 검색의 시대에서 대화의 시대로
BN40CFD3E830,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=10339&searchCate1=type02,[주말] 어린이 창의실험과학교실,춘천시 평생학습관,보로노이의 빛 상자 신기한 엑스레이 투시 움직이는 로봇 오토마타 빛나는 조개와 자개 규조토 방향제 만들기 플라나리아 탐구 할로윈 조명 만들기 홀로그램피라미드 흔들흔들 단진자 운동 야광펜 만들기 촉촉한 핸드크림 만들기 마시멜로 쫀득 쿠키 친환경 에코백 만들기 신기한 착시 현상,1,1,1,e4|e5|e6|m1|m2|m3|h1|h2|h3,4,12,초4~고3,youth_keyword,2,1,0,1,1,1,3,2,로봇·메이커,로봇|실험,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),0,이론형,커리큘럼 이론 100%,0,PL001,춘천시 평생학습관,강원특별자치도 춘천시 퇴계농공로 40,37.8495249089956,127.743612444085,space_csv,ROBOT_KIT|LAPTOP|LAB_TOOL|SAFETY|CRAFT,로봇 키트|노트북|실험기구|안전장비|공예/제작 재료,5,1,LAB,20,R009,230,0,1,Y,https://clc.chuncheon.go.kr/site/intro/rent_info.do,address,2026-08-22,2026-12-05,106,2026-07-20,2026-07-31,토,09:30,11:30,,1,모집중,1,유료,60000,,,,,,[주말] 어린이 창의실험과학교실 [주말] 어린이 창의실험과학교실 보로노이의 빛 상자 신기한 엑스레이 투시 움직이는 로봇 오토마타 빛나는 조개와 자개 규조토 방향제 만들기 플라나리아 탐구 할로윈 조명 만들기 홀로그램피라미드 흔들흔들 단진자 운동 야광펜 만들기 촉촉한 핸드크림 만들기 마시멜로 쫀득 쿠키 친환경 에코백 만들기 신기한 착시 현상
BN31B39A2249,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=10191&searchCate1=type02,[주말] 어린이 창의실험과학교실,춘천시 평생학습관,"태양의 궤도를 공전하는 행성에 대해 알아보고 태양계 행성 열쇠고리를 만든다. 공기보다 가벼운 고체, 에어로겔에 대해 알아보고 에어로겔을 이용해 손가락 방수 실험을 한다. 중력에 의해 아래로 떨어지는 물체의 속도를 공기 저항을 이용해 줄여주는 낙하산 모형을 만든다 지피식물 잔디의 특징과 쓰임새를 알아보고 초록색 머리가 자라는 잔디 인형을 키운다. 얼음에 소금을 넣었을 때 어는점이 크게 떨어지는 원리를 이용해서 소금 아이스크림을 만든다 뉴턴의 작용-반작용의 법칙에 대해 알아보고 반작용으로 튀어 오르는 탱탱볼 로켓을 만든다. 지레의 원리",1,1,1,e4|e5|e6|m1|m2|m3|h1|h2|h3,4,12,초4~고3,youth_keyword,2,0,0,1,0,1,2,1,,실험,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,커리큘럼 실습 100%,0,PL001,춘천시 평생학습관,강원특별자치도 춘천시 퇴계농공로 40,37.8495249089956,127.743612444085,space_csv,LAB_TOOL|SAFETY,실험기구|안전장비,2,1,LAB,20,R009,230,0,1,Y,https://clc.chuncheon.go.kr/site/intro/rent_info.do,address,2026-03-14,2026-06-27,106,2026-02-02,2026-03-06,토,09:30,11:30,,0,종료,1,유료,60000,,,,,,"[주말] 어린이 창의실험과학교실 [주말] 어린이 창의실험과학교실 태양의 궤도를 공전하는 행성에 대해 알아보고 태양계 행성 열쇠고리를 만든다. 공기보다 가벼운 고체, 에어로겔에 대해 알아보고 에어로겔을 이용해 손가락 방수 실험을 한다. 중력에 의해 아래로 떨어지는 물체의 속도를 공기 저항을 이용해 줄여주는 낙하산 모형을 만든다 지피식물 잔디의 특징과 쓰임새를 알아보고 초록색 머리가 자라는 잔디 인형을 키운다. 얼음에 소금을 넣었을 때 어는점이 크게 떨어지는 원리를 이용해서 소금 아이스크림을 만든다 뉴턴의 작용-반작용의 법칙에 대해 알아보고 반작용으로 튀어 오르는 탱탱볼 로켓을 만든다. 지레의 원리와 지레를 이용한 물체에 대해 알아보고 지레의 원리를 이용한 투석기를 만든다. 빛을 정반사시켜 물체를 바르게 보여주는 거울의 원리를 알아보고 만화경을 만든다. 태양에서 나오는 자외선이 우리 몸에 미치는 영향을 알아보고 자외선을 막아주는 차단 크림을 만든다. 날아다니는 포유동물 박쥐의 생태와 특징을 알아보고 날개를 움직이는 박쥐 모형을 만든다. 전해질과 비전해질에 대해 알아보고 전해질 용액에 닿아야 소리가 내며 우는 전기매미를 만든다. 몸속의 소리를 크게 들려주는 청진기"
BNCB965C80DB,baewoobom,춘천시 배워봄,chuncheon_local,https://lifelong.hallym.ac.kr/cmmn/crs/community/selectDetail.do?crsId=O000472026001,누구나 쓸 수 있다! AI를 활용한 블로그 글쓰기,한림대학교 커뮤니티교육원,,0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,,ai,3,본잎,프로젝트/제작/실습,0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,,,0,0,ONLINE,,,,0,0,,,,2026-08-01,2026-12-31,153,2026-05-01,2026-07-31,월|화|수|목|금|토|일,00:00,00:00,,1,모집중,-1,미상,,,,,,,누구나 쓸 수 있다! ai를 활용한 블로그 글쓰기 ai|ai콘텐츠 제작|디지털문해|블로그 글쓰기|제미나이 누구나 쓸 수 있다! ai를 활용한 블로그 글쓰기
BN51E3488302,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11180&searchCate1=type02,생성형AI 배우기,춘천시 디지털정책과,"AI란 무엇인가? 프롬프트 이해하기 및 인공지능 윤리 Chat GPT 이해하기, 대화하기 생성형AI 체험하기1 생성형AI 체험하기2 생성형AI 체험하기3 생성형AI 활용하기1 생성형AI 활용하기2 생성형AI 활용하기3 생성형 AI를 활용한 작품 만들기",0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,AI·데이터,인공지능|생성형|프롬프트|ai,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),0,이론형,커리큘럼 이론 100%,0,PL033,춘천시청 별관 3층 정보화교육장,강원특별자치도 춘천시 삭주로 3,,,,LAPTOP|WIFI|CRAFT|STATIONERY,노트북|와이파이/인터넷|공예/제작 재료|필기도구/활동지,4,1,COMPUTER_ROOM,24,,,0,0,,,,2026-11-16,2026-11-27,12,2026-10-30,2026-11-13,월|화|수|목|금,13:00,15:00,,1,모집중,-1,미상,,,,,,,"생성형ai 배우기 생성형ai 배우기 ai란 무엇인가? 프롬프트 이해하기 및 인공지능 윤리 chat gpt 이해하기, 대화하기 생성형ai 체험하기1 생성형ai 체험하기2 생성형ai 체험하기3 생성형ai 활용하기1 생성형ai 활용하기2 생성형ai 활용하기3 생성형 ai를 활용한 작품 만들기"
BNCBD9EE942D,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11162&searchCate1=type02,생성형AI 배우기,춘천시 디지털정책과,"AI란 무엇인가? 프롬프트 이해하기 및 인공지능 윤리 Chat GPT 이해하기, 대화하기 생성형AI 체험하기1 생성형AI 체험하기2 생성형AI 체험하기3 생성형AI 활용하기1 생성형AI 활용하기2 생성형AI 활용하기3 생성형 AI를 활용한 작품 만들기",0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,AI·데이터,인공지능|생성형|프롬프트|ai,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),0,이론형,커리큘럼 이론 100%,0,PL033,춘천시청 별관 3층 정보화교육장,강원특별자치도 춘천시 삭주로 3,,,,LAPTOP|WIFI|CRAFT|STATIONERY,노트북|와이파이/인터넷|공예/제작 재료|필기도구/활동지,4,1,COMPUTER_ROOM,24,,,0,0,,,,2026-06-08,2026-06-19,12,2026-05-22,2026-06-05,월|화|수|목|금,13:00,15:00,,0,종료,-1,미상,,,,,,,"생성형ai 배우기 생성형ai 배우기 ai란 무엇인가? 프롬프트 이해하기 및 인공지능 윤리 chat gpt 이해하기, 대화하기 생성형ai 체험하기1 생성형ai 체험하기2 생성형ai 체험하기3 생성형ai 활용하기1 생성형ai 활용하기2 생성형ai 활용하기3 생성형 ai를 활용한 작품 만들기"
BN39BE910860,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11177&searchCate1=type02,"쉽게 따라하는 유튜브 개설, 편집",춘천시 디지털정책과,구글 계정 찾기 및 계정 만들기 유튜브란 무엇인가? 채널 만들기 채널 설정하기 및 채널 꾸미기 프레젠테이션 유튜브 영상 과정1 프레젠테잇녀 유튜브 영상 과정2 프레젠테잇녀 유튜브 영상 과정3 학습한 내용을 바탕으로 동영상 만들기 쇼츠 영상 만들기 스마트폰으로 영상 편집하기 인공지능을 활용한 영상 만들기,0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,AI·데이터,인공지능,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),0,이론형,커리큘럼 이론 100%,1,PL033,춘천시청 별관 3층 정보화교육장,강원특별자치도 춘천시 삭주로 3,,,,LAPTOP|WIFI|CRAFT,노트북|와이파이/인터넷|공예/제작 재료,3,1,ONLINE,24,,,0,0,,,,2026-11-02,2026-11-13,12,2026-10-16,2026-10-30,월|화|수|목|금,13:00,15:00,,1,모집중,-1,미상,,,,,,,"쉽게 따라하는 유튜브 개설, 편집 쉽게 따라하는 유튜브 개설, 편집 구글 계정 찾기 및 계정 만들기 유튜브란 무엇인가? 채널 만들기 채널 설정하기 및 채널 꾸미기 프레젠테이션 유튜브 영상 과정1 프레젠테잇녀 유튜브 영상 과정2 프레젠테잇녀 유튜브 영상 과정3 학습한 내용을 바탕으로 동영상 만들기 쇼츠 영상 만들기 스마트폰으로 영상 편집하기 인공지능을 활용한 영상 만들기"
BND498CB0E94,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=11159&searchCate1=type02,"쉽게 따라하는 유튜브 개설, 편집",춘천시 디지털정책과,구글 계정 찾기 및 계정 만들기 유튜브란 무엇인가? 채널 만들기 채널 설정하기 및 채널 꾸미기 프레젠테이션 유튜브 영상 과정1 프레젠테이션 유튜브 영상 과정2 프레젠테이션 유튜브 영상 과정3 학습한 내용을 바탕으로 동영상 만들기 쇼츠 영상 만들기 스마트폰으로 영상 편집하기 인공지능을 활용한 영상 만들기,0,0,0,,,,,open_to_all,1,0,1,0,1,0,1,0,AI·데이터,인공지능,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,커리큘럼 실습 100%,1,PL033,춘천시청 별관 3층 정보화교육장,강원특별자치도 춘천시 삭주로 3,,,,LAPTOP|WIFI|CRAFT,노트북|와이파이/인터넷|공예/제작 재료,3,1,ONLINE,23,,,0,0,,,,2026-05-20,2026-06-03,15,2026-04-24,2026-05-18,월|화|수|목|금,13:00,15:00,,0,종료,-1,미상,,,,,,,"쉽게 따라하는 유튜브 개설, 편집 쉽게 따라하는 유튜브 개설, 편집 구글 계정 찾기 및 계정 만들기 유튜브란 무엇인가? 채널 만들기 채널 설정하기 및 채널 꾸미기 프레젠테이션 유튜브 영상 과정1 프레젠테이션 유튜브 영상 과정2 프레젠테이션 유튜브 영상 과정3 학습한 내용을 바탕으로 동영상 만들기 쇼츠 영상 만들기 스마트폰으로 영상 편집하기 인공지능을 활용한 영상 만들기"
BN78806EACC0,baewoobom,춘천시 배워봄,chuncheon_local,https://bwb.chuncheon.go.kr/enrollment/detail-view/?backFlag=category&lifelongGisuLectureId=8605&searchCate1=type02,창의실험과학,춘천시 평생학습관,"오천년의 역사를 가진 차나무와 차나무 잎을 이용한 여러 가지 차의 종류를 알아보고, 녹차 미스트를 만들어본다. 속이 보이는 플랑크톤 물벼룩의 생김새와 현미경의 구조를 알아보고, 현미경으로 물벼룩을 관찰해본다. 물과 친한 친수성과 물과 섞이지 않는 소수성을 알아보고, 소수성 코팅으로 물에 젖지 않는 마술 모래를 탐구해본다. 물에서 자라는 수생식물의 종류의 특징을 알아보고, 단단한 연씨의 껍질을 깨서 연이 싹트는 과정을 관찰해본다. 소리의 진동과 파동에 대해 알아보고, 소리에 따라 작은 공들이 춤을 추듯이 움직이는 부부젤라를 만들어본다",1,0,0,e1|e2|e3|e4|e5|e6,1,6,초1~초6,school_level,2,0,0,1,0,1,2,1,생명·실험,현미경|실험,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,커리큘럼 실습 100%,0,PL001,춘천시 평생학습관,강원특별자치도 춘천시 퇴계농공로 40,37.8495249089956,127.743612444085,space_csv,LAB_TOOL|SAFETY,실험기구|안전장비,2,1,LAB,20,R009,230,0,1,Y,https://clc.chuncheon.go.kr/site/intro/rent_info.do,address,2025-08-23,2025-12-06,106,2025-08-05,2025-08-14,토,10:00,12:00,,0,종료,1,유료,60000,,,,,,"창의실험과학 과학|실험|실험과학|창의력 실험|실험과학|과학|창의력 창의실험과학 오천년의 역사를 가진 차나무와 차나무 잎을 이용한 여러 가지 차의 종류를 알아보고, 녹차 미스트를 만들어본다. 속이 보이는 플랑크톤 물벼룩의 생김새와 현미경의 구조를 알아보고, 현미경으로 물벼룩을 관찰해본다. 물과 친한 친수성과 물과 섞이지 않는 소수성을 알아보고, 소수성 코팅으로 물에 젖지 않는 마술 모래를 탐구해본다. 물에서 자라는 수생식물의 종류의 특징을 알아보고, 단단한 연씨의 껍질을 깨서 연이 싹트는 과정을 관찰해본다. 소리의 진동과 파동에 대해 알아보고, 소리에 따라 작은 공들이 춤을 추듯이 움직이는 부부젤라를 만들어본다. 도체와 부도체에 대해 알아보고 도체에 닿으면 눈에 불을 켜는 아이언맨을 만들어본다. 태양 주변을 돌고 있는 행성의 생김새와 특징을 알아보고, 태양 주위를 공전하는 행성 오르골을 만들어본다. 열을 받으면 모양이 변하는 물질에 대해 알아보고 열을 받으면 꽃처럼 피는 카라멜 팝콘을 만들어본다. 완전탈바꿈을 하는 나비의 한 살이와 종류를 알아보고, 파란색 날개를 가진 나비 표본을 만들어본다 화재가 나는 이유와 화재 진화 방법에 대해 알아보고, 이산화탄소를 이"
BNC8ABA2482C,ggoomgil,꿈길 춘천 진로체험,chuncheon_local,https://www.ggoomgil.go.kr/front/exp/infraMapDetail.do?t_ad=456743,AI 동화,주식회사 가르침에듀,,1,0,0,e1|e2|e3|e4|e5|e6,1,6,초1~초6,source_yn_flag,2,0,1,0,1,0,1,0,,ai,1,씨앗,유형=캠프형; 1일/단시간,0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),0,PL045,학교로 찾아가는 교육,,37.8810564226938,127.731127583834,source_raw,LAPTOP|TABLET,노트북|태블릿,2,2,COMPUTER_ROOM,,,,0,0,,,,2025-09-04,2026-09-04,366,2025-09-04,2026-09-04,월|화|수|목|금|토|일,09:00,12:00,4,2,진행중,1,유료,30000,,,,,,ai 동화 캠프형|민간기업|기타|학교|오프라인|유료|인증유효|초 기타 ai 동화
