learning_history_id,stu_id,program_id,enrollment_date,start_date,completion_date,attendance_rate,interest_score,understanding_score,difficulty_level
LH_0001,STU_001,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,5
LH_0002,STU_001,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,5,5
LH_0003,STU_001,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,3,4,5
LH_0004,STU_002,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,3,4
LH_0005,STU_003,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,5,4
LH_0006,STU_003,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,3,4,1
LH_0007,STU_003,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,5,4
LH_0008,STU_004,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,4
LH_0009,STU_004,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,3
LH_0010,STU_004,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,4,5
LH_0011,STU_005,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,5,4
LH_0012,STU_005,BN7DCC2A07E6,2026-02-23,2026-03-09,2026-06-25,100.0,3,5,1
LH_0013,STU_006,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,5,2
LH_0014,STU_006,BN78806EACC0,2025-08-06,2025-08-23,2025-12-06,100.0,5,3,1
LH_0015,STU_006,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,4,4
LH_0016,STU_007,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,3,5
LH_0017,STU_007,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,2,1
LH_0018,STU_008,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,1
LH_0019,STU_008,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,5,4,3
LH_0020,STU_008,BN5486CC8319,2026-02-25,2026-03-21,2026-06-27,100.0,4,5,3
LH_0021,STU_009,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,5
LH_0022,STU_009,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,4,1
LH_0023,STU_010,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,4,3
LH_0024,STU_011,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,5,3
LH_0025,STU_012,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,5,3,1
LH_0026,STU_013,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,2,4
LH_0027,STU_013,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,3,2,2
LH_0028,STU_013,BN7DCC2A07E6,2026-02-12,2026-03-09,2026-06-25,100.0,5,4,4
LH_0029,STU_014,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,4,1
LH_0030,STU_014,BN78806EACC0,2025-08-05,2025-08-23,2025-12-06,100.0,4,5,1
LH_0031,STU_015,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,4
LH_0032,STU_015,BN5486CC8319,2026-02-23,2026-03-21,2026-06-27,100.0,3,5,5
LH_0033,STU_016,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,3,5
LH_0034,STU_017,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,4,5
LH_0035,STU_018,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,4,2
LH_0036,STU_018,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,4,3,2
LH_0037,STU_019,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,5,1
LH_0038,STU_019,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,5
LH_0039,STU_019,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,4,5
LH_0040,STU_020,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,3,4
LH_0041,STU_021,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,3
LH_0042,STU_022,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,4,1
LH_0043,STU_022,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,2,4
LH_0044,STU_023,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,3,5,1
LH_0045,STU_024,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,5,2
LH_0046,STU_025,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,5,5,3
LH_0047,STU_026,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,5,3,2
LH_0048,STU_027,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,5,3,5
LH_0049,STU_027,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,4
LH_0050,STU_027,BN48FC05969B,2024-03-15,2024-03-15,2024-12-31,100.0,4,2,1
LH_0051,STU_028,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,4,2,3
LH_0052,STU_028,BN5486CC8319,2026-02-20,2026-03-21,2026-06-27,100.0,4,2,4
LH_0053,STU_028,BN6A98738AD9,2026-02-20,2026-03-21,2026-06-27,100.0,4,4,2
LH_0054,STU_029,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,4,5
LH_0055,STU_029,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,4,2
LH_0056,STU_030,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,3,4,4
LH_0057,STU_030,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,4,1
LH_0058,STU_031,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,3,4
LH_0059,STU_031,BN78806EACC0,2025-08-10,2025-08-23,2025-12-06,100.0,4,2,2
LH_0060,STU_031,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,2,4
LH_0061,STU_032,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,4
LH_0062,STU_033,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,3,1
LH_0063,STU_033,BN7DCC2A07E6,2026-02-18,2026-03-09,2026-06-25,100.0,3,3,1
LH_0064,STU_034,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,1
LH_0065,STU_034,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,5,2
LH_0066,STU_035,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,5,2
LH_0067,STU_036,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,5,4,4
LH_0068,STU_036,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,3,3
LH_0069,STU_036,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,4,3
LH_0070,STU_037,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,5
LH_0071,STU_037,BN96860CB9C8,2025-04-01,2025-04-01,2025-04-30,100.0,4,4,5
LH_0072,STU_038,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,4,4
LH_0073,STU_038,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,5,3,2
